"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0130011,Bozrah School District,7,Math,16,21,24,22,20,15,*,66.70%,58.30%,50.00%,50.00%,*,*,86.00%,77.20%,74.90%,69.30%,*
0130011,Bozrah School District,8,ELA,20,18,21,26,20,19,45.00%,*,38.10%,38.50%,35.00%,*,66.10%,*,46.30%,58.10%,49.10%,*
0130011,Bozrah School District,8,Math,20,18,21,26,20,19,70.00%,*,57.10%,57.70%,50.00%,*,94.80%,*,69.70%,67.80%,68.60%,*
0140011,Branford School District,4,ELA,205,221,192,185,165,189,55.60%,44.30%,50.00%,40.50%,46.70%,47.60%,77.30%,66.10%,74.10%,61.60%,72.00%,72.50%
0140011,Branford School District,4,Math,204,221,192,185,163,188,47.10%,51.60%,59.40%,45.40%,50.30%,43.10%,77.00%,79.20%,85.70%,68.40%,77.50%,75.20%
0140011,Branford School District,5,ELA,214,201,222,192,179,168,43.00%,38.30%,32.40%,32.80%,50.30%,46.40%,67.20%,60.30%,50.70%,55.40%,72.70%,71.60%
0140011,Branford School District,5,Math,215,201,222,192,180,169,47.40%,50.70%,43.20%,49.50%,65.00%,67.50%,72.50%,69.40%,64.10%,69.80%,83.80%,87.40%
0140011,Branford School District,6,ELA,204,215,208,220,177,190,39.20%,34.00%,27.90%,54.50%,36.70%,34.70%,54.50%,48.90%,46.90%,75.60%,54.40%,45.80%
0140011,Branford School District,6,Math,202,215,207,219,177,191,43.60%,32.10%,27.50%,33.30%,25.40%,29.30%,62.90%,55.10%,50.30%,52.20%,45.50%,49.30%
0140011,Branford School District,7,ELA,202,201,212,207,168,188,49.00%,41.30%,32.50%,47.80%,41.70%,43.10%,67.00%,59.80%,48.00%,66.10%,59.30%,62.80%
0140011,Branford School District,7,Math,202,201,212,205,168,186,43.10%,24.90%,32.50%,41.00%,36.90%,48.90%,63.40%,40.00%,49.80%,58.70%,58.50%,67.20%
0140011,Branford School District,8,ELA,222,197,196,206,190,183,33.30%,26.90%,16.30%,40.80%,23.70%,22.40%,49.60%,39.10%,28.40%,57.20%,38.10%,35.60%
0140011,Branford School District,8,Math,223,195,196,206,187,182,28.30%,37.40%,42.30%,40.30%,38.00%,34.60%,41.00%,52.30%,58.20%,55.50%,52.70%,46.60%
2900013,Brass City Charter School District,4,ELA,*,38,34,36,37,36,*,23.70%,38.20%,33.30%,48.60%,16.70%,*,47.40%,65.10%,49.50%,73.00%,44.20%
2900013,Brass City Charter School District,4,Math,*,38,34,36,37,36,*,10.50%,29.40%,22.20%,43.20%,13.90%,*,19.00%,56.20%,48.30%,83.40%,30.70%
2900013,Brass City Charter School District,5,ELA,*,*,37,31,35,35,*,*,54.10%,38.70%,54.30%,37.10%,*,*,68.20%,58.90%,80.20%,61.90%
2900013,Brass City Charter School District,5,Math,*,*,37,31,35,35,*,*,83.80%,38.70%,62.90%,34.30%,*,*,100.00%,69.30%,78.70%,57.60%
2900013,Brass City Charter School District,6,ELA,*,*,*,33,32,29,*,*,*,33.30%,53.10%,37.90%,*,*,*,45.00%,74.30%,54.00%
2900013,Brass City Charter School District,6,Math,*,*,*,33,32,29,*,*,*,30.30%,81.30%,55.20%,*,*,*,42.80%,94.40%,69.20%
2900013,Brass City Charter School District,7,ELA,*,*,*,*,28,26,*,*,*,*,46.40%,42.30%,*,*,*,*,70.30%,62.30%
2900013,Brass City Charter School District,7,Math,*,*,*,*,28,26,*,*,*,*,50.00%,26.90%,*,*,*,*,65.90%,42.60%
2900013,Brass City Charter School District,8,ELA,*,*,*,*,28,34,*,*,*,*,28.60%,32.40%,*,*,*,*,47.20%,56.90%
2900013,Brass City Charter School District,8,Math,*,*,*,*,28,34,*,*,*,*,39.30%,14.70%,*,*,*,*,56.90%,29.20%
0150011,Bridgeport School District,4,ELA,1572,1594,1524,1599,1192,1283,23.90%,24.50%,28.40%,25.70%,36.10%,24.60%,50.70%,50.30%,56.10%,50.80%,62.70%,52.20%
0150011,Bridgeport School District,4,Math,1596,1595,1517,1595,1164,1279,21.10%,31.30%,26.80%,26.50%,33.30%,23.70%,52.10%,61.70%,56.30%,54.90%,63.60%,52.40%
0150011,Bridgeport School District,5,ELA,1405,1498,1482,1404,1175,1315,30.70%,26.50%,36.80%,32.30%,39.10%,25.50%,58.00%,53.10%,63.80%,58.70%,66.00%,49.90%
0150011,Bridgeport School District,5,Math,1420,1493,1476,1400,1091,1314,28.10%,33.00%,34.20%,33.40%,39.70%,34.30%,50.40%,53.50%,54.70%,53.60%,61.60%,55.00%
0150011,Bridgeport School District,6,ELA,1187,1279,1335,1369,1042,1247,36.40%,32.30%,39.40%,31.80%,43.60%,28.90%,57.70%,54.60%,62.60%,53.60%,67.00%,52.90%
0150011,Bridgeport School District,6,Math,1211,1278,1329,1366,1000,1244,33.90%,44.90%,39.80%,37.80%,40.10%,34.90%,52.00%,61.80%,57.40%,55.20%,56.40%,52.60%
0150011,Bridgeport School District,7,ELA,1167,1160,1267,1311,1172,1163,34.40%,25.20%,34.60%,31.30%,32.30%,25.90%,55.80%,43.80%,56.10%,52.10%,53.80%,45.50%
0150011,Bridgeport School District,7,Math,1191,1155,1259,1305,1128,1158,36.00%,38.20%,34.30%,32.60%,41.30%,35.80%,55.70%,55.20%,51.90%,50.80%,58.90%,52.70%
0150011,Bridgeport School District,8,ELA,1265,1236,1197,1291,1066,1311,31.90%,22.70%,39.20%,31.70%,33.40%,26.60%,51.70%,40.40%,60.30%,51.80%,52.90%,46.60%
0150011,Bridgeport School District,8,Math,1301,1231,1187,1290,1010,1300,29.50%,29.20%,30.20%,30.50%,25.40%,25.40%,44.50%,45.20%,47.10%,47.80%,40.70%,39.20%
0170011,Bristol School District,4,ELA,532,566,522,536,489,460,45.90%,35.00%,40.40%,34.00%,44.20%,42.60%,71.30%,58.30%,67.20%,58.40%,68.60%,68.30%
0170011,Bristol School District,4,Math,536,564,518,532,480,457,43.50%,39.90%,48.80%,38.00%,52.30%,48.80%,72.30%,68.90%,76.80%,68.10%,78.50%,75.90%
0170011,Bristol School District,5,ELA,615,547,578,542,483,515,41.50%,28.90%,37.40%,28.80%,51.30%,46.00%,66.30%,51.20%,62.10%,51.80%,76.10%,68.00%
0170011,Bristol School District,5,Math,619,545,576,540,480,514,40.50%,36.90%,42.40%,34.60%,61.00%,54.70%,64.80%,59.50%,62.90%,53.40%,80.20%,77.70%
0170011,Bristol School District,6,ELA,529,626,558,584,497,522,40.30%,36.90%,39.10%,35.80%,51.10%,33.50%,62.10%,54.20%,60.20%,54.90%,71.40%,52.60%
0170011,Bristol School District,6,Math,530,623,556,581,487,515,39.80%,42.40%,44.80%,40.60%,53.60%,45.20%,61.60%,62.50%,65.80%,59.00%,73.10%,61.10%
0170011,Bristol School District,7,ELA,568,542,638,587,485,554,43.50%,38.90%,37.80%,36.50%,36.90%,31.80%,64.70%,58.30%,58.60%,56.60%,56.90%,49.70%
0170011,Bristol School District,7,Math,571,542,636,583,468,551,51.00%,32.70%,24.20%,27.60%,39.70%,29.60%,71.40%,51.40%,40.20%,42.20%,55.40%,46.30%
0170011,Bristol School District,8,ELA,521,574,557,651,511,532,39.00%,34.30%,35.50%,30.00%,42.10%,35.50%,56.60%,52.80%,54.70%,48.40%,58.80%,51.30%
0170011,Bristol School District,8,Math,526,575,554,642,497,523,39.90%,33.60%,38.80%,36.10%,51.10%,54.30%,57.60%,49.30%,54.40%,52.90%,66.80%,70.30%
0180011,Brookfield School District,4,ELA,204,165,160,150,156,158,36.80%,37.00%,40.60%,35.30%,51.30%,38.00%,62.10%,61.40%,66.70%,64.50%,78.50%,63.00%
0180011,Brookfield School District,4,Math,203,165,159,150,156,158,34.00%,47.30%,39.60%,48.70%,48.10%,50.60%,62.70%,72.40%,67.80%,78.00%,78.10%,80.30%
0180011,Brookfield School District,5,ELA,168,200,173,168,166,165,43.50%,43.00%,49.10%,52.40%,47.00%,52.10%,63.90%,62.50%,72.20%,78.10%,70.10%,74.40%
0180011,Brookfield School District,5,Math,168,197,173,168,166,165,32.10%,19.80%,35.30%,48.80%,44.60%,41.20%,55.60%,44.20%,54.90%,72.00%,66.50%,64.70%
0180011,Brookfield School District,6,ELA,187,184,208,182,170,184,45.50%,33.20%,39.40%,41.80%,41.20%,64.70%,63.00%,50.50%,55.40%,60.50%,59.50%,82.10%
0180011,Brookfield School District,6,Math,186,184,207,182,171,184,45.70%,65.20%,66.70%,65.90%,69.00%,81.00%,68.10%,85.20%,88.10%,89.20%,88.50%,99.20%
0180011,Brookfield School District,7,ELA,216,180,191,206,183,171,42.10%,42.80%,44.50%,40.30%,33.90%,46.20%,62.00%,62.10%,62.00%,59.60%,49.40%,67.20%
0180011,Brookfield School District,7,Math,214,180,191,204,181,171,53.70%,64.40%,49.70%,52.90%,32.60%,49.10%,73.10%,81.50%,64.50%,70.30%,48.40%,67.80%
0180011,Brookfield School District,8,ELA,182,225,199,192,169,189,51.10%,50.70%,44.70%,47.40%,34.30%,38.60%,65.80%,66.30%,61.50%,64.30%,49.30%,53.40%
0180011,Brookfield School District,8,Math,186,223,198,191,167,185,61.30%,63.70%,42.40%,58.60%,39.50%,41.60%,78.70%,77.80%,58.10%,75.00%,53.60%,57.20%
0190011,Brooklyn School District,4,ELA,72,64,92,76,79,87,59.70%,54.70%,43.50%,28.90%,41.80%,31.00%,83.10%,76.70%,68.60%,59.20%,67.20%,58.40%
0190011,Brooklyn School District,4,Math,73,64,92,76,79,87,50.70%,56.30%,50.00%,40.80%,41.80%,33.30%,82.10%,79.60%,74.10%,71.70%,66.00%,67.20%
0190011,Brooklyn School District,5,ELA,98,74,63,91,67,87,32.70%,31.10%,41.30%,38.50%,44.80%,58.60%,56.20%,49.30%,60.50%,60.80%,65.60%,79.50%
0190011,Brooklyn School District,5,Math,98,74,63,91,67,87,16.30%,37.80%,30.20%,30.80%,49.30%,37.90%,35.20%,53.70%,45.60%,53.10%,69.40%,62.70%
0190011,Brooklyn School District,6,ELA,74,107,80,63,89,75,67.60%,63.60%,68.80%,54.00%,52.80%,40.00%,88.50%,84.80%,85.30%,75.80%,75.30%,60.60%
0190011,Brooklyn School District,6,Math,73,107,80,63,88,75,60.30%,64.50%,66.30%,49.20%,45.50%,58.70%,83.10%,85.90%,88.70%,68.10%,67.20%,76.90%
0190011,Brooklyn School District,7,ELA,76,70,106,81,64,96,38.20%,21.40%,44.30%,37.00%,35.90%,41.70%,54.90%,34.40%,58.00%,53.10%,53.30%,59.20%
0190011,Brooklyn School District,7,Math,76,69,107,81,63,96,31.60%,18.80%,36.40%,51.90%,60.30%,56.30%,47.50%,37.30%,55.70%,69.20%,78.20%,71.40%
0190011,Brooklyn School District,8,ELA,103,74,74,110,86,70,50.50%,33.80%,41.90%,30.90%,26.70%,34.30%,67.40%,52.90%,56.90%,46.50%,40.70%,51.20%
0190011,Brooklyn School District,8,Math,103,74,74,111,86,71,40.80%,40.50%,27.00%,39.60%,34.90%,26.80%,56.00%,58.20%,47.00%,54.50%,50.40%,43.90%
0210011,Canaan School District,4,ELA,*,*,7,*,*,10,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,4,Math,*,*,7,*,*,10,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,5,ELA,8,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,5,Math,8,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,6,ELA,11,9,*,6,10,7,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,6,Math,10,9,*,6,10,7,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,7,ELA,*,12,8,*,6,11,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,7,Math,*,11,8,*,6,11,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,8,ELA,10,7,14,9,7,*,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,8,Math,10,7,14,9,7,*,*,*,*,*,*,*,*,*,*,*,*,*
0220011,Canterbury School District,4,ELA,36,43,43,43,41,45,41.70%,30.20%,32.60%,30.20%,53.70%,31.10%,72.00%,53.10%,54.80%,61.40%,70.20%,61.50%
0220011,Canterbury School District,4,Math,36,43,43,43,39,43,55.60%,23.30%,23.30%,30.20%,74.40%,62.80%,84.90%,50.80%,53.30%,64.60%,93.30%,93.20%
0220011,Canterbury School District,5,ELA,50,35,42,46,46,40,42.00%,34.30%,45.20%,43.50%,43.50%,52.50%,67.30%,54.70%,72.90%,65.90%,69.10%,72.20%
0220011,Canterbury School District,5,Math,50,35,42,46,46,39,18.00%,57.10%,21.40%,52.20%,43.50%,61.50%,39.00%,78.70%,46.50%,77.00%,63.60%,89.10%
0220011,Canterbury School District,6,ELA,34,50,34,39,41,51,52.90%,34.00%,52.90%,20.50%,41.50%,29.40%,73.70%,51.60%,67.90%,39.40%,61.70%,51.20%
0220011,Canterbury School District,6,Math,34,50,34,39,41,51,47.10%,48.00%,17.60%,38.50%,43.90%,64.70%,66.90%,68.70%,38.30%,61.80%,62.20%,89.40%
0220011,Canterbury School District,7,ELA,70,36,50,37,50,46,57.10%,38.90%,30.00%,45.90%,44.00%,34.80%,81.30%,53.40%,52.40%,62.70%,61.90%,55.90%
0220011,Canterbury School District,7,Math,70,36,50,37,48,46,60.00%,63.90%,40.00%,35.10%,18.80%,41.30%,84.40%,78.60%,57.50%,58.10%,36.60%,53.30%
0220011,Canterbury School District,8,ELA,58,73,41,50,40,53,27.60%,15.10%,22.00%,36.00%,27.50%,45.30%,41.90%,24.60%,43.20%,52.00%,46.40%,62.20%
0220011,Canterbury School District,8,Math,58,73,41,49,40,53,39.70%,34.20%,22.00%,24.50%,27.50%,47.20%,61.80%,51.40%,32.50%,41.80%,48.20%,64.40%
0230011,Canton School District,4,ELA,112,112,105,106,89,103,48.20%,41.10%,40.00%,45.30%,41.60%,43.70%,68.00%,62.40%,62.30%,67.70%,65.60%,69.90%
0230011,Canton School District,4,Math,112,111,105,106,89,103,39.30%,17.10%,43.80%,46.20%,47.20%,47.60%,64.70%,45.90%,71.40%,70.70%,81.80%,71.90%
0230011,Canton School District,5,ELA,129,118,115,110,103,93,49.60%,48.30%,41.70%,42.70%,40.80%,41.90%,73.20%,66.70%,61.10%,64.60%,60.60%,60.30%
0230011,Canton School District,5,Math,129,117,114,110,103,91,55.00%,31.60%,44.70%,47.30%,33.00%,29.70%,76.50%,51.00%,66.00%,66.00%,54.20%,47.10%
0230011,Canton School District,6,ELA,132,131,118,115,106,105,55.30%,38.90%,40.70%,43.50%,42.50%,37.10%,75.80%,57.10%,61.80%,59.70%,58.50%,54.80%
0230011,Canton School District,6,Math,132,131,117,115,105,104,58.30%,58.80%,70.90%,54.80%,47.60%,46.20%,81.50%,77.80%,89.20%,72.50%,67.60%,67.00%
0230011,Canton School District,7,ELA,136,139,125,123,117,116,46.30%,30.90%,44.00%,30.90%,35.00%,38.80%,65.10%,53.20%,62.30%,47.60%,53.00%,56.80%
0230011,Canton School District,7,Math,136,138,125,123,117,116,55.90%,47.80%,42.40%,33.30%,25.60%,42.20%,75.60%,62.20%,55.60%,43.80%,38.80%,57.70%
0230011,Canton School District,8,ELA,135,135,135,122,107,119,56.30%,32.60%,44.40%,48.40%,19.60%,35.30%,72.90%,47.90%,59.90%,64.80%,33.50%,51.70%
0230011,Canton School District,8,Math,135,135,134,121,106,118,64.40%,54.80%,64.90%,62.00%,27.40%,39.80%,82.10%,68.70%,79.30%,74.20%,38.20%,56.60%
2970013,Capital Preparatory Harbor School District,4,ELA,*,*,19,40,51,65,*,*,*,40.00%,47.10%,50.80%,*,*,*,64.30%,67.30%,76.60%
2970013,Capital Preparatory Harbor School District,4,Math,*,*,19,40,51,65,*,*,*,50.00%,43.10%,47.70%,*,*,*,81.90%,73.00%,78.80%
2970013,Capital Preparatory Harbor School District,5,ELA,*,*,27,47,44,65,*,*,37.00%,21.30%,34.10%,33.80%,*,*,55.10%,49.00%,62.70%,58.60%
2970013,Capital Preparatory Harbor School District,5,Math,*,*,27,47,43,65,*,*,51.90%,31.90%,39.50%,26.20%,*,*,71.20%,55.40%,62.80%,51.90%
2970013,Capital Preparatory Harbor School District,6,ELA,26,30,32,46,46,54,30.80%,43.30%,53.10%,34.80%,41.30%,40.70%,51.10%,72.00%,79.90%,58.60%,68.40%,64.70%
2970013,Capital Preparatory Harbor School District,6,Math,26,30,32,45,46,54,15.40%,70.00%,46.90%,42.20%,37.00%,48.10%,33.60%,79.90%,69.40%,60.10%,52.20%,69.40%
2970013,Capital Preparatory Harbor School District,7,ELA,32,32,28,42,47,55,31.30%,53.10%,39.30%,14.30%,29.80%,40.00%,45.70%,71.60%,63.60%,34.90%,51.40%,54.50%
2970013,Capital Preparatory Harbor School District,7,Math,32,32,28,42,47,55,9.40%,87.50%,46.40%,45.20%,57.40%,50.90%,32.10%,99.10%,61.30%,61.30%,73.20%,69.20%
2970013,Capital Preparatory Harbor School District,8,ELA,30,34,32,44,67,57,43.30%,58.80%,37.50%,25.00%,34.30%,35.10%,73.50%,77.70%,57.70%,49.70%,54.10%,56.50%
2970013,Capital Preparatory Harbor School District,8,Math,29,34,32,44,67,57,17.20%,79.40%,15.60%,50.00%,32.80%,10.50%,29.30%,91.10%,42.10%,65.70%,49.60%,26.30%
2410014,Capitol Region Education Council,4,ELA,347,437,551,531,531,543,43.20%,45.30%,41.00%,43.30%,31.50%,35.70%,71.70%,70.00%,64.70%,64.40%,57.40%,62.80%
2410014,Capitol Region Education Council,4,Math,351,436,551,530,517,543,41.30%,52.10%,37.00%,35.80%,32.10%,38.30%,73.50%,79.60%,64.80%,62.90%,60.30%,70.40%
2410014,Capitol Region Education Council,5,ELA,312,338,432,541,511,532,45.80%,37.30%,38.90%,41.80%,33.10%,33.30%,70.60%,64.80%,61.70%,66.20%,57.00%,59.20%
2410014,Capitol Region Education Council,5,Math,313,338,432,541,508,529,50.20%,55.00%,34.30%,41.80%,32.30%,37.80%,71.00%,75.00%,55.00%,60.40%,51.40%,60.10%
2410014,Capitol Region Education Council,6,ELA,586,604,562,663,562,604,34.50%,27.00%,35.20%,29.90%,24.70%,29.50%,53.30%,45.80%,52.60%,46.10%,43.30%,49.10%
2410014,Capitol Region Education Council,6,Math,581,599,557,654,553,593,29.80%,32.10%,28.00%,17.40%,18.30%,23.30%,49.40%,49.80%,43.80%,32.70%,32.70%,36.60%
2410014,Capitol Region Education Council,7,ELA,672,626,606,582,543,601,38.50%,41.10%,45.50%,44.00%,29.70%,29.00%,60.40%,60.20%,64.40%,64.30%,46.90%,47.90%
2410014,Capitol Region Education Council,7,Math,663,616,605,580,507,587,32.60%,33.60%,25.60%,32.20%,34.90%,36.10%,52.20%,51.70%,42.20%,48.10%,53.50%,53.40%
2410014,Capitol Region Education Council,8,ELA,622,639,615,612,511,596,41.80%,33.30%,34.10%,28.40%,27.00%,34.70%,59.60%,49.80%,51.60%,45.40%,44.40%,54.80%
2410014,Capitol Region Education Council,8,Math,604,624,605,602,469,568,40.90%,36.50%,39.00%,32.20%,21.30%,25.90%,58.70%,53.50%,57.40%,46.90%,35.70%,42.80%
0240011,Chaplin School District,4,ELA,13,19,11,22,16,13,*,*,*,22.70%,*,*,*,*,*,36.60%,*,*
0240011,Chaplin School District,4,Math,13,18,11,21,16,13,*,*,*,19.00%,*,*,*,*,*,38.90%,*,*
0240011,Chaplin School District,5,ELA,16,14,20,9,13,18,*,*,45.00%,*,*,*,*,*,68.60%,*,*,*
0240011,Chaplin School District,5,Math,15,14,20,9,13,18,*,*,65.00%,*,*,*,*,*,86.00%,*,*,*
0240011,Chaplin School District,6,ELA,14,18,15,21,26,15,*,*,*,28.60%,38.50%,*,*,*,*,48.40%,63.80%,*
0240011,Chaplin School District,6,Math,14,18,15,21,26,15,*,*,*,61.90%,38.50%,*,*,*,*,94.30%,68.90%,*
0250011,Cheshire School District,4,ELA,278,290,262,264,293,305,64.40%,51.70%,58.40%,57.20%,50.50%,50.20%,83.30%,72.40%,78.90%,77.40%,72.60%,75.40%
0250011,Cheshire School District,4,Math,278,290,262,264,291,304,51.10%,42.80%,49.60%,50.40%,44.70%,53.60%,77.80%,70.30%,74.70%,75.50%,69.80%,76.30%
0250011,Cheshire School District,5,ELA,337,282,302,272,268,304,61.70%,51.10%,60.60%,65.10%,56.70%,65.10%,83.00%,73.30%,79.40%,83.10%,76.30%,84.80%
0250011,Cheshire School District,5,Math,337,282,302,272,268,304,61.70%,59.60%,64.60%,79.40%,63.80%,75.00%,83.10%,79.70%,83.20%,96.40%,84.90%,93.10%
0250011,Cheshire School District,6,ELA,376,345,292,315,288,283,55.10%,50.10%,51.00%,52.10%,42.00%,45.20%,70.30%,67.20%,68.30%,68.20%,58.00%,60.40%
0250011,Cheshire School District,6,Math,376,345,291,315,288,283,56.60%,67.20%,58.10%,52.40%,66.00%,61.80%,76.40%,82.90%,74.60%,72.70%,84.00%,78.10%
0250011,Cheshire School District,7,ELA,353,382,344,295,274,300,39.10%,33.50%,46.50%,49.50%,30.70%,37.00%,55.70%,47.10%,60.20%,64.20%,46.30%,54.60%
0250011,Cheshire School District,7,Math,355,380,344,293,273,299,40.60%,32.60%,40.10%,46.80%,41.40%,45.20%,56.80%,47.20%,52.60%,63.00%,55.20%,56.50%
0250011,Cheshire School District,8,ELA,344,358,399,354,290,293,45.90%,39.10%,48.90%,50.00%,35.50%,51.50%,60.90%,56.40%,65.40%,62.80%,47.60%,68.40%
0250011,Cheshire School District,8,Math,343,357,396,354,287,289,55.40%,47.90%,44.70%,65.50%,37.60%,47.80%,71.60%,65.20%,59.80%,80.00%,50.70%,61.50%
0260011,Chester School District,4,ELA,27,26,26,26,30,23,48.10%,50.00%,50.00%,57.70%,46.70%,30.40%,66.40%,64.00%,73.10%,74.90%,80.40%,56.20%
0260011,Chester School District,4,Math,27,26,26,26,30,23,37.00%,38.50%,34.60%,53.80%,70.00%,26.10%,63.80%,57.70%,65.90%,70.70%,91.00%,47.10%
0260011,Chester School District,5,ELA,34,29,29,25,28,35,52.90%,72.40%,62.10%,52.00%,46.40%,42.90%,76.50%,96.40%,82.20%,69.60%,64.30%,56.60%
0260011,Chester School District,5,Math,34,29,29,25,28,35,44.10%,62.10%,41.40%,60.00%,67.90%,54.30%,60.20%,78.80%,58.20%,75.30%,86.00%,73.20%
0260011,Chester School District,6,ELA,39,34,29,31,21,26,48.70%,61.80%,65.50%,58.10%,19.00%,65.40%,63.20%,78.10%,77.70%,88.60%,37.60%,81.50%
0260011,Chester School District,6,Math,39,34,29,31,21,26,76.90%,79.40%,62.10%,83.90%,71.40%,61.50%,94.20%,99.90%,84.70%,100.00%,94.80%,77.40%
0270011,Clinton School District,4,ELA,134,136,133,106,92,103,38.80%,30.10%,38.30%,37.70%,42.40%,26.20%,66.80%,55.70%,62.30%,61.80%,64.20%,52.70%
0270011,Clinton School District,4,Math,134,136,135,106,92,103,53.00%,45.60%,41.50%,54.70%,37.00%,38.80%,84.60%,76.00%,69.70%,84.30%,64.60%,67.20%
0270011,Clinton School District,5,ELA,167,135,130,137,93,100,44.90%,36.30%,26.20%,46.70%,44.10%,21.00%,68.20%,62.60%,50.80%,71.60%,70.30%,41.20%
0270011,Clinton School District,5,Math,167,135,132,137,93,100,49.70%,48.90%,35.60%,65.00%,62.40%,42.00%,69.60%,74.50%,59.90%,86.70%,86.40%,69.70%
0270011,Clinton School District,6,ELA,130,167,134,128,108,93,40.80%,38.30%,29.10%,36.70%,37.00%,41.90%,61.90%,56.00%,43.30%,54.30%,55.60%,63.30%
0270011,Clinton School District,6,Math,131,167,134,128,106,92,47.30%,41.90%,23.90%,28.90%,34.90%,34.80%,69.00%,62.10%,42.30%,50.70%,52.10%,62.30%
0270011,Clinton School District,7,ELA,141,126,162,133,100,101,37.60%,28.60%,23.50%,45.90%,37.00%,28.70%,50.40%,47.30%,36.70%,63.40%,62.60%,50.20%
0270011,Clinton School District,7,Math,141,127,162,133,100,101,36.20%,30.70%,21.60%,48.90%,39.00%,41.60%,53.00%,46.20%,33.10%,71.40%,59.40%,59.90%
0270011,Clinton School District,8,ELA,153,132,124,155,121,100,51.60%,27.30%,30.60%,40.00%,25.60%,32.00%,68.20%,41.90%,47.10%,57.60%,40.80%,47.00%
0270011,Clinton School District,8,Math,154,131,124,155,121,99,55.80%,54.20%,44.40%,60.60%,40.50%,61.60%,72.90%,71.80%,61.80%,77.50%,54.70%,79.70%
0280011,Colchester School District,4,ELA,161,157,164,158,145,133,56.50%,42.70%,41.50%,41.10%,39.30%,40.60%,79.50%,66.80%,67.60%,65.40%,66.00%,64.00%
0280011,Colchester School District,4,Math,161,156,164,157,145,133,47.20%,44.20%,39.00%,42.00%,56.60%,46.60%,80.70%,74.90%,73.40%,75.10%,84.10%,71.80%
0280011,Colchester School District,5,ELA,192,156,165,169,137,145,51.60%,41.70%,45.50%,52.70%,43.10%,46.20%,78.70%,65.90%,70.00%,74.20%,66.60%,69.60%
0280011,Colchester School District,5,Math,193,156,165,169,137,145,67.90%,53.20%,57.00%,62.70%,46.70%,50.30%,88.20%,72.60%,77.80%,85.90%,69.40%,71.90%
0280011,Colchester School District,6,ELA,201,178,160,159,146,150,51.70%,30.90%,40.60%,37.10%,26.00%,24.70%,71.00%,45.70%,59.90%,54.90%,43.40%,43.80%
0280011,Colchester School District,6,Math,201,178,160,159,146,149,21.90%,43.30%,56.90%,53.50%,54.10%,53.00%,32.80%,59.80%,75.70%,74.80%,71.70%,76.20%
0280011,Colchester School District,7,ELA,192,207,178,161,151,150,40.10%,34.30%,41.60%,34.80%,46.40%,48.70%,58.90%,49.90%,63.30%,49.20%,59.70%,62.80%
0280011,Colchester School District,7,Math,191,207,178,161,151,150,22.00%,61.40%,52.20%,48.40%,62.30%,65.30%,36.60%,79.40%,67.60%,66.80%,78.70%,80.70%
0280011,Colchester School District,8,ELA,189,192,200,179,155,151,43.40%,36.50%,43.00%,38.50%,40.60%,36.40%,59.40%,52.00%,60.40%,57.70%,56.60%,54.00%
0280011,Colchester School District,8,Math,189,192,200,179,156,150,55.60%,78.60%,65.00%,63.70%,60.90%,63.30%,75.30%,93.80%,81.00%,77.20%,78.80%,80.20%
0290011,Colebrook School District,4,ELA,9,11,12,10,13,6,*,*,*,*,*,*,*,*,*,*,*,*
0290011,Colebrook School District,4,Math,9,11,12,10,13,6,*,*,*,*,*,*,*,*,*,*,*,*
0290011,Colebrook School District,5,ELA,9,9,13,10,12,13,*,*,*,*,*,*,*,*,*,*,*,*
0290011,Colebrook School District,5,Math,9,9,13,10,12,13,*,*,*,*,*,*,*,*,*,*,*,*
0290011,Colebrook School District,6,ELA,13,10,8,15,13,13,*,*,*,*,*,*,*,*,*,*,*,*
0290011,Colebrook School District,6,Math,13,10,8,15,13,13,*,*,*,*,*,*,*,*,*,*,*,*
0300011,Columbia School District,4,ELA,35,41,42,29,46,41,71.40%,36.60%,59.50%,72.40%,21.70%,29.30%,96.20%,69.40%,84.50%,95.30%,51.70%,56.40%
0300011,Columbia School District,4,Math,35,41,41,29,46,41,57.10%,41.50%,43.90%,34.50%,52.20%,46.30%,86.80%,74.80%,85.20%,69.10%,81.90%,72.10%
