"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Special Education Status (SWD),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Ellington School District,0480011,Math,Y,141,13.5,153,12.4,164,13.4,177,15.3,175,16,175,22.3
Elm City College Preparatory School District,2890013,ELA,N,344,*,348,*,352,*,340,*,331,*,325,*
Elm City College Preparatory School District,2890013,ELA,Y,32,*,31,*,24,*,27,*,35,*,40,*
Elm City College Preparatory School District,2890013,Math,N,344,*,347,*,351,*,340,*,329,*,325,*
Elm City College Preparatory School District,2890013,Math,Y,32,*,31,*,23,*,27,*,35,0,39,*
Enfield School District,0490011,ELA,N,1936,62.7,1924,56.2,1891,57.4,1906,56.9,1720,48,1625,49.2
Enfield School District,0490011,ELA,Y,284,14.1,300,13.3,320,10.3,355,11,378,9.8,417,10.6
Enfield School District,0490011,Math,N,1936,*,1925,43.3,1884,41.7,1896,45,1715,35.9,1622,40
Enfield School District,0490011,Math,Y,279,7.2,302,8.6,319,7.8,355,9.9,376,6.6,410,8.5
Essex School District,0500011,ELA,N,194,*,175,*,162,*,156,*,136,*,121,*
Essex School District,0500011,ELA,Y,29,*,26,34.6,29,31,27,*,22,*,26,*
Essex School District,0500011,Math,N,194,74.7,175,*,162,65.4,156,*,135,*,121,70.2
Essex School District,0500011,Math,Y,29,24.1,26,*,29,20.7,27,*,22,*,26,*
Fairfield School District,0510011,ELA,N,4221,79.3,4214,79.8,4120,83.3,3997,84,3467,79.4,3488,79.2
Fairfield School District,0510011,ELA,Y,462,26,476,27.9,508,33.7,569,35.9,664,36.1,634,36.6
Fairfield School District,0510011,Math,N,4212,69.9,4210,73.1,4116,76,3993,78.7,3464,73.2,3490,73.1
Fairfield School District,0510011,Math,Y,459,20.7,476,22.5,505,25.1,564,28.5,657,29.7,632,34.3
Farmington School District,0520011,ELA,N,1682,84.8,1730,85.3,1703,86.8,1676,88.2,1635,81,1654,81.7
Farmington School District,0520011,ELA,Y,213,29.6,204,25,215,28.8,217,31.3,232,28,229,27.1
Farmington School District,0520011,Math,N,1682,78.7,1729,79.9,1700,80.5,1676,81.1,1631,73,1649,79.6
