"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0150011,Bridgeport School District,0150111,Barnum School,Math,216,208,211,247,201,232,21.80%,29.80%,30.80%,26.30%,36.80%,31.90%,44.60%,49.10%,51.00%,42.60%,59.00%,54.40%
0150011,Bridgeport School District,0150211,Beardsley School,ELA,108,110,110,108,68,76,25.90%,30.90%,33.60%,35.20%,32.40%,30.30%,51.60%,54.60%,59.30%,62.40%,57.30%,62.10%
0150011,Bridgeport School District,0150211,Beardsley School,Math,108,110,110,107,65,76,30.60%,33.60%,22.70%,43.90%,41.50%,57.90%,53.70%,58.20%,51.70%,71.50%,64.90%,81.90%
0150011,Bridgeport School District,0150311,Black Rock School,ELA,180,182,194,221,198,209,37.80%,41.20%,42.80%,32.60%,40.40%,35.40%,60.40%,62.40%,67.10%,52.40%,67.40%,58.60%
0150011,Bridgeport School District,0150311,Black Rock School,Math,182,182,194,221,192,209,41.80%,55.50%,39.70%,37.10%,49.00%,33.50%,63.30%,77.50%,59.20%,56.70%,70.50%,52.70%
0150011,Bridgeport School District,0154011,Blackham School,ELA,538,572,535,528,419,550,33.50%,29.90%,40.70%,38.80%,41.10%,25.30%,56.30%,52.90%,65.10%,62.10%,66.20%,49.90%
0150011,Bridgeport School District,0154011,Blackham School,Math,552,572,534,526,407,551,30.60%,43.40%,36.30%,40.10%,40.80%,32.70%,52.30%,63.70%,56.40%,62.10%,59.50%,51.60%
0150011,Bridgeport School District,0159011,Bridgeport Learning Center,ELA,23,29,30,32,20,14,17.40%,24.10%,20.00%,25.00%,10.00%,*,37.30%,37.10%,39.50%,55.30%,45.60%,*
0150011,Bridgeport School District,0159011,Bridgeport Learning Center,Math,23,28,31,32,17,14,13.00%,32.10%,41.90%,40.60%,*,*,32.10%,47.50%,55.50%,49.00%,*,*
0150011,Bridgeport School District,0150411,Bryant School,ELA,126,121,97,112,79,84,31.70%,20.70%,45.40%,37.50%,44.30%,32.10%,60.10%,46.50%,73.20%,61.20%,68.20%,55.70%
0150011,Bridgeport School District,0150411,Bryant School,Math,129,121,97,111,76,84,23.30%,24.80%,46.40%,42.30%,39.50%,22.60%,47.00%,47.80%,74.80%,64.10%,66.10%,43.20%
0150011,Bridgeport School District,0151411,Cesar Batalla School,ELA,506,532,528,525,396,506,28.10%,23.10%,29.50%,25.70%,27.30%,24.30%,52.50%,44.50%,53.70%,48.00%,48.30%,46.00%
0150011,Bridgeport School District,0151411,Cesar Batalla School,Math,560,530,522,520,356,503,33.20%,30.90%,30.80%,28.80%,20.50%,29.00%,54.20%,50.00%,50.50%,48.50%,37.60%,47.40%
0150011,Bridgeport School District,0152111,Classical Studies Academy,ELA,186,188,207,232,202,189,37.10%,28.20%,28.50%,31.00%,40.60%,28.00%,60.20%,44.80%,55.00%,49.90%,61.40%,52.60%
0150011,Bridgeport School District,0152111,Classical Studies Academy,Math,186,188,207,232,195,188,31.20%,44.10%,34.30%,15.50%,41.50%,37.20%,52.80%,67.00%,55.70%,35.20%,61.70%,61.40%
0150011,Bridgeport School District,0150511,Columbus School,ELA,272,234,213,226,210,206,40.80%,18.80%,36.60%,19.00%,27.10%,31.60%,67.40%,37.90%,61.20%,42.40%,49.50%,57.60%
0150011,Bridgeport School District,0150511,Columbus School,Math,275,234,210,226,203,206,38.50%,26.50%,31.40%,31.40%,28.60%,35.90%,61.80%,42.50%,51.10%,51.10%,45.90%,51.80%
0150011,Bridgeport School District,0150711,Edison School,ELA,87,91,85,69,58,61,28.70%,15.40%,41.20%,14.50%,34.50%,19.70%,53.90%,37.00%,72.20%,37.00%,61.80%,50.60%
0150011,Bridgeport School District,0150711,Edison School,Math,87,91,84,67,44,61,29.90%,40.70%,42.90%,31.30%,29.50%,16.40%,54.20%,64.60%,66.30%,48.60%,48.30%,45.00%
0150011,Bridgeport School District,0153111,Geraldine Claytor Magnet Academy,ELA,*,*,204,218,155,184,*,*,27.00%,31.70%,32.90%,23.90%,*,*,52.60%,55.30%,54.90%,50.50%
0150011,Bridgeport School District,0153111,Geraldine Claytor Magnet Academy,Math,*,*,204,217,148,181,*,*,32.80%,30.90%,27.70%,28.20%,*,*,51.90%,50.00%,46.60%,46.60%
0150011,Bridgeport School District,0153211,Geraldine Johnson School,ELA,326,349,375,384,330,354,34.70%,28.10%,38.40%,22.10%,36.40%,22.30%,59.10%,51.90%,65.30%,45.30%,62.40%,45.90%
0150011,Bridgeport School District,0153211,Geraldine Johnson School,Math,334,349,375,383,321,353,32.90%,35.20%,29.10%,31.30%,39.60%,30.60%,56.70%,58.50%,50.50%,52.00%,60.80%,52.80%
0150011,Bridgeport School District,0151111,Hall School,ELA,81,84,83,79,42,74,30.90%,33.30%,32.50%,26.60%,31.00%,18.90%,61.20%,62.20%,58.80%,52.00%,66.20%,40.70%
0150011,Bridgeport School District,0151111,Hall School,Math,81,83,83,79,41,74,29.60%,33.70%,31.30%,22.80%,34.10%,16.20%,49.70%,54.40%,57.30%,42.40%,59.20%,41.70%
0150011,Bridgeport School District,0151211,Hallen School,ELA,89,102,97,86,74,81,28.10%,24.50%,41.20%,33.70%,54.10%,27.20%,53.90%,45.20%,68.90%,59.00%,77.40%,55.70%
0150011,Bridgeport School District,0151211,Hallen School,Math,89,102,97,86,73,81,18.00%,24.50%,36.10%,39.50%,35.60%,30.90%,46.40%,45.40%,61.30%,66.00%,67.60%,60.20%
0150011,Bridgeport School District,0154511,High Horizons Magnet School,ELA,213,214,231,234,207,214,38.50%,27.60%,44.60%,41.90%,39.10%,35.00%,60.10%,50.20%,66.50%,68.80%,63.50%,54.90%
0150011,Bridgeport School District,0154511,High Horizons Magnet School,Math,213,214,229,234,205,214,24.40%,47.20%,38.90%,42.70%,38.00%,35.00%,44.50%,71.20%,62.70%,68.10%,60.60%,55.00%
0150011,Bridgeport School District,0153711,Interdistrict Discovery Magnet School,ELA,219,217,215,215,196,216,28.80%,37.80%,41.90%,34.40%,33.70%,30.10%,52.50%,63.00%,64.20%,56.40%,57.10%,55.30%
0150011,Bridgeport School District,0153711,Interdistrict Discovery Magnet School,Math,219,216,214,215,191,216,28.30%,41.70%,37.40%,29.80%,42.40%,27.80%,49.30%,61.10%,60.60%,50.80%,66.50%,49.20%
0150011,Bridgeport School District,0154211,James J. Curiale School,ELA,349,281,295,268,247,248,27.20%,28.10%,30.20%,24.30%,32.40%,22.20%,51.70%,52.60%,54.70%,50.60%,55.70%,41.60%
0150011,Bridgeport School District,0154211,James J. Curiale School,Math,348,279,291,267,220,245,25.90%,32.60%,25.40%,27.70%,29.10%,25.70%,46.80%,52.50%,45.80%,49.30%,47.00%,43.10%
